Company_Name,Promoter_Holding,Promoter_Pledged,Institutional_Holding,Sales,Sales_Growth_Pct,BVPS,BV_Growth_Pct,Total_Equity,Profit,Profit_Growth_Pct,Other_Income,Total_Expenses,RnD_Expenses,Beta,P_E,StockReturnPct,Sector
3M India Ltd.,75,0,12.07,39267.7,5.178052472,2104.01,21.68308185,23701.9,5362.7,28.86768876,30.9,34201.2,455.2,0.81,65.24,35.12431147,Industrials
A B B India Ltd.,75,0,17.84,104465.2,21.93152519,302.2,26.36420656,59446,12420.5,22.22134753,246.6,95505.9,0,0.8,96.61,91.36470691,Industrials
A C C Ltd.,56.69,0,30.97,221673.2,-11.23890552,852.64,14.10218666,160219.5,21242.4,144.1907784,85.2,207846.1,23,1,28.8,43.61970672,Materials
A I A Engineering Ltd.,58.47,0,38.71,41487,2.550475588,684.46,17.95746734,64558.3,11294.5,16.57875995,3.2,34085.7,0,0.64,31.8,39.66712644,Industrials
A P L Apollo Tubes Ltd.,29.44,0,44.75,143737.7,-3.028861755,104.11,12.30852211,28893.9,4537.1,-11.37091733,106.2,138382.6,0,1.25,96.47,30.3083553,Materials
Aarti Industries Ltd.,43.43,3.68,28.2,68654.9,-4.574403024,146,7.550644567,52924,4173.5,-23.53005845,1201.8,66773.7,33.6,1.02,63.82,31.92530013,Materials
Abbott India Ltd.,74.99,0,9.09,58764.1,9.222282319,1740.71,16.00634442,36988.9,12012.2,26.52278784,4.8,49145.8,9.6,0.34,47.68,18.60677886,Healthcare
Action Construction Equipment Ltd.,66.76,0,11.61,29125.1,34.91962755,102.89,34.76096922,12197.9,3276.4,103.2506203,50.5,27098,204.5,1.67,56.13,263.9151791,Industrials
Adani Energy Solutions Ltd.,73.22,2.58,21.29,15173.5,120.5450581,97.91,5.76860754,109215.4,5949.1,249.3716232,26.7,19169.8,0,1.38,200.45,3.472728156,Utilities
Adani Enterprises Ltd.,72.61,0.08,20.18,320148.8,-44.70484991,145.96,19.4142191,166395.5,28442.6,75.27623203,48.3,297872.4,0,1.92,128.65,58.6898361,Industrials
Adani Green Energy Ltd.,56.37,1.02,19.7,120010,57.30764189,27.85,-10.10329245,74980,-5460,66.46341463,240,155760,0,1.13,0,89.02733964,Utilities
Adani Ports & Special Economic Zone Ltd.,65.89,1.7,26.81,68685.6,34.00656321,135.12,2.286146858,293541.6,17383.5,-462.5868219,825.4,70494.7,0,1.38,173.99,94.46646118,Industrials
Adani Power Ltd.,71.75,16.1,17.32,385356,14.07795013,77.61,133.6946703,394480.5,187492.4,82.98814677,3429.9,311639.5,0,1.72,13.67,172.3815877,Utilities
Adani Total Gas Ltd.,74.8,0,19.26,48142.2,2.792391917,32.4,21.30288282,35633.7,6531,23.26827979,35.1,42071.2,0,1.56,159.19,-1.682539683,Utilities
Adani Wilmar Ltd.,87.87,0,1.06,492426.2,-10.89322975,63.65,3.563293199,82720.3,2781.6,-54.19198656,73.6,492353.4,0,1.76,160.51,-13.17227146,Consumer Staples
Aditya Birla Fashion & Retail Ltd.,51.85,0,34.79,130308.1,4.948628303,49.74,42.48066457,50489.7,-1777.3,-234.1156052,406.5,133224.2,0,1.14,0,18.12261397,Consumer Discretionary
