Company Name,Prowess company code,CIN code,Industry group,Industry group code,Industry type,NIC name,NIC code,ISIN code,NSE symbol
360 One Wam Ltd.,384392,L74140MH2008PLC177884,Other fund based financial services,1.0224E+14,2,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",64191,INE466L01038,360ONE
3M India Ltd.,36277,L31300KA1987PLC013543,"Plastic furniture, floorings & miscellaneous items",1.01012E+14,1,Manufacture of other plastics products n.e.c.,22209,INE470A01017,3MINDIA
A B B India Ltd.,21420,L32202KA1949PLC032923,"Generators, transformers & switchgears",1.01014E+14,1,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",2710,INE117A01022,ABB
A C C Ltd.,23354,L26940GJ1936PLC149771,Cement,1.01013E+14,1,Manufacture of clinkers and cement,23941,INE012A01025,ACC
A I A Engineering Ltd.,1120,L29259GJ1991PLC015182,Castings & forgings,1.01014E+14,1,Manufacture of other iron and steel casting and products thereof,24319,INE212H01026,AIAENG
A P L Apollo Tubes Ltd.,35548,L74899DL1986PLC023443,Steel pipes & tubes,1.01014E+14,1,"Manufacture of tubes, pipes and hollow profiles and of tube or pipe fittings of cast-iron/cast-steel",24311,INE702C01027,APLAPOLLO
A U Small Finance Bank Ltd.,380713,L36911RJ1996PLC011381,Banking services,1.0201E+14,3,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",64191,INE949L01017,AUBANK
A W L Agri Business Ltd.,5759,L15146GJ1999PLC035320,Vegetable oils & products,1.01011E+14,1,Manufacture of vegetable oils and fats excluding corn oil,10402,INE699H01024,AWL
Aadhar Housing Finance Ltd.,270280,L66010KA1990PLC011409,Housing finance services,1.0216E+14,2,Activities of specialized institutions granting credit for house purchases that also take deposits,64192,INE883F01010,AADHARHFC
Aarti Industries Ltd.,3998,L24110GJ1984PLC007301,Other chemical products,1.01012E+14,1,"Manufacture  of  various  other  chemical  products  n.e.c.(antiknock preparations, anti-freeze preparations, liquids for hydraulic transmission, composite diagnostic or laboratory reagents, writing or drawing ink, chemical substance used in manufacturing of pesticides and other chemical products)",20299,INE769A01020,AARTIIND
Aavas Financiers Ltd.,441726,L65922RJ2011PLC034297,Housing finance services,1.0216E+14,2,Activities of specialized institutions granting credit for house purchases that also take deposits,64192,INE216P01012,AAVAS
Abbott India Ltd.,121704,L24239MH1944PLC007330,Drugs & pharmaceuticals,1.01012E+14,1,Manufacture of allopathic pharmaceutical preparations,21002,INE358A01014,ABBOTINDIA
Acme Solar Holdings Ltd.,530052,L40106HR2015PLC102129,Industrial construction,1.0106E+14,1,Construction and maintenance of power plants,42201,INE622W01025,ACMESOLAR
Action Construction Equipment Ltd.,369475,L74899HR1995PLC053860,Mining & construction equipment,1.01014E+14,1,Manufacture of other lifting and handling equipment and parts thereof,28162,INE731H01025,ACE
Adani Energy Solutions Ltd.,502255,L40300GJ2013PLC077803,Diversified,1.1E+14,1,Diversified,34,INE931S01010,ADANIENSOL
Adani Enterprises Ltd.,5747,L51100GJ1993PLC019067,Wholesale trading,1.0104E+14,1,"Wholesale of solid, liquid and gaseous fuels and related products",46610,INE423A01024,ADANIENT
Adani Green Energy Ltd.,527121,L40106GJ2015PLC082007,Wholesale trading,1.0104E+14,1,Wholesale of other electronic equipments and parts thereof,46529,INE364U01010,ADANIGREEN
Adani Ports & Special Economic Zone Ltd.,86597,L63090GJ1998PLC034182,Shipping transport infrastructure services,1.01041E+14,1,Service activities incidental to water transportation,52220,INE742F01042,ADANIPORTS
Adani Power Ltd.,5757,L40100GJ1996PLC030533,Conventional electricity,1.0103E+14,1,Electric power generation by coal based thermal power plants,35102,INE814H01029,ADANIPOWER
Adani Total Gas Ltd.,389247,L40100GJ2005PLC046553,Natural gas trading & distribution,1.0104E+14,1,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture, automobiles, gas and oil, chemicals, textiles etc. Also included is storage of goods in foreign trade zones]",52109,INE399L01023,ATGL
Aditya Birla Capital Ltd.,385189,L64920GJ2007PLC058890,Other fund based financial services,1.0224E+14,2,"Other financial service activities, except insurance and pension funding activities, n.e.c.",64990,INE674K01013,ABCAPITAL
Aditya Birla Fashion & Retail Ltd.,374960,L18101MH2007PLC233901,Retail trading,1.0104E+14,1,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc.",47711,INE647O01011,ABFRL
Aditya Birla Lifestyle Brands Ltd.,730483,L46410MH2024PLC423195,Readymade garments,1.01012E+14,1,"Manufacture of wearing apparel, except fur apparel",1410,INE14LE01019,ABLBL
Aditya Birla Real Estate Ltd.,43750,L17120MH1897PLC000163,Diversified,1.1E+14,1,Diversified,34,INE055A01016,ABREL
Aditya Birla Sun Life A M C Ltd.,36379,L65991MH1994PLC080811,Asset management services (mutual funds),1.02281E+14,2,Management of mutual funds,66301,INE404A01024,ABSLAMC
