iter	Passed	Remaining
0	1	158
1	1	140
2	2	125
3	3	120
4	4	119
5	5	123
6	6	130
7	7	130
8	8	130
9	9	127
10	9	125
11	10	125
12	11	124
13	12	122
14	13	121
15	14	119
16	14	117
17	15	114
18	16	111
19	16	109
20	17	109
21	18	106
22	19	106
23	20	107
24	21	108
25	22	107
26	23	106
27	24	106
28	25	104
29	25	103
30	26	101
31	27	99
32	27	97
33	28	96
34	28	94
35	29	92
36	29	91
37	30	90
38	31	88
39	32	88
40	32	87
41	33	85
42	34	84
43	34	84
44	36	84
45	37	84
46	38	84
47	39	83
48	40	82
49	40	81
50	41	80
51	42	80
52	43	79
53	44	79
54	45	78
55	46	78
56	47	77
57	48	76
58	49	75
59	50	75
60	51	74
61	52	74
62	53	73
63	54	73
64	55	72
65	56	72
66	58	72
67	60	72
68	62	72
69	63	72
70	64	72
71	66	72
72	68	72
73	70	72
74	71	71
75	73	71
76	74	71
77	76	70
78	77	69
79	78	68
80	79	67
81	81	67
82	82	66
83	84	66
84	85	65
85	86	64
86	87	63
87	88	62
88	89	61
89	90	60
90	91	59
91	92	58
92	94	57
93	95	57
94	97	56
95	98	55
96	99	54
97	100	53
98	105	54
99	107	53
100	113	54
101	115	54
102	116	53
103	118	52
104	119	51
105	121	50
106	122	49
107	125	48
108	127	47
109	128	46
110	129	45
111	131	44
112	132	43
113	133	42
114	134	40
115	135	39
116	136	38
117	137	37
118	138	36
119	139	34
120	140	33
121	142	32
122	143	31
123	145	30
124	146	29
125	148	28
126	148	26
127	149	25
128	150	24
129	151	23
130	152	22
131	153	20
132	154	19
133	156	18
134	157	17
135	157	16
136	158	15
137	160	13
138	160	12
139	161	11
140	162	10
141	163	9
142	164	8
143	164	6
144	165	5
145	166	4
146	167	3
147	168	2
148	169	1
149	170	0
